,feature,enrich_group,ef_lda,pvalue,padj
marker1,g__Methanobrevibacter,healthy,4.363797,4.824646e-04,4.824646e-04
marker2,g__Oscillospira,healthy,4.242088,7.226330e-05,7.226330e-05
marker3,g__Bacteroides_f__Bacteroidaceae,healthy,4.111595,2.431954e-02,2.431954e-02
marker4,g__02d06,healthy,3.595833,2.697039e-05,2.697039e-05
marker5,g__un_f__Christensenellaceae,healthy,3.506345,3.340919e-05,3.340919e-05
marker6,g__Propionispora,healthy,3.475427,4.568122e-03,4.568122e-03
marker7,g__Alistipes,healthy,3.209110,6.550742e-03,6.550742e-03
marker8,g__Bacillus_f__[Thermicanaceae],healthy,3.171236,3.715205e-02,3.715205e-02
marker9,g__Defluviitalea,healthy,3.117239,1.239935e-02,1.239935e-02
marker10,g__un_f__Rikenellaceae,healthy,2.800055,4.054835e-02,4.054835e-02
marker11,g__Paenibacillus,healthy,2.649260,7.623423e-03,7.623423e-03
marker12,g__Papillibacter,healthy,2.637760,3.433074e-02,3.433074e-02
marker13,g__Dehalobacterium,healthy,2.450287,3.581732e-04,3.581732e-04
marker14,g__Butyricimonas,healthy,2.448228,2.745075e-02,2.745075e-02
marker15,g__Cloacibacillus,healthy,2.428394,1.125733e-02,1.125733e-02
marker16,g__Peptostreptococcus,healthy,2.378012,9.950132e-03,9.950132e-03
marker17,g__Trigonala,healthy,2.370777,1.180231e-02,1.180231e-02
marker18,g__Hespellia,healthy,2.060668,2.089736e-02,2.089736e-02
marker19,g__Escherichia,hypertension,4.627396,4.403962e-02,4.403962e-02
marker20,g__Prevotella,hypertension,4.434632,8.360084e-03,8.360084e-03
marker21,g__Clostridium_f__Clostridiaceae,hypertension,4.235892,6.193856e-03,6.193856e-03
marker22,g__Gemmiger,hypertension,4.029999,3.216303e-02,3.216303e-02
marker23,g__Enterobacter,hypertension,3.998709,2.239711e-03,2.239711e-03
marker24,g__SMB53,hypertension,3.657512,4.006908e-02,4.006908e-02
marker25,g__Haemophilus,hypertension,3.546911,1.422598e-02,1.422598e-02
marker26,g__[Ruminococcus],hypertension,3.435949,1.863036e-03,1.863036e-03
marker27,g__Succinivibrio,hypertension,3.213979,2.264202e-02,2.264202e-02
marker28,g__Clostridium_f__Ruminococcaceae,hypertension,3.039276,2.690873e-03,2.690873e-03
marker29,g__CF231,hypertension,2.563122,3.026383e-02,3.026383e-02
