,feature,enrich_group,ef_lda,pvalue,padj
marker1,g__Bacteroides,healthy,4.727045,8.641518e-03,8.641518e-03
marker2,g__Eubacterium,healthy,4.086165,5.130060e-06,5.130060e-06
marker3,g__Ruminococcus,healthy,3.867797,2.579056e-05,2.579056e-05
marker4,g__Bifidobacterium,healthy,3.866240,2.098589e-03,2.098589e-03
marker5,g__Blautia,healthy,3.784006,1.171507e-04,1.171507e-04
marker6,g__Dialister,healthy,3.766477,2.299466e-03,2.299466e-03
marker7,g__Fusobacterium,healthy,3.610495,5.990747e-07,5.990747e-07
marker8,g__un_f__Ruminococcaceae,healthy,3.572976,1.364520e-05,1.364520e-05
marker9,g__Anaerostipes,healthy,3.568550,7.303637e-11,7.303637e-11
marker10,g__Lachnoclostridium,healthy,3.505235,1.843111e-06,1.843111e-06
marker11,g__Streptococcus,healthy,3.488245,4.925503e-21,4.925503e-21
marker12,g__Akkermansia,healthy,3.475926,2.673091e-03,2.673091e-03
marker13,g__Veillonella,healthy,3.425395,1.041943e-07,1.041943e-07
marker14,g__Erysipelatoclostridium,healthy,3.343015,1.508006e-19,1.508006e-19
marker15,g__Ruthenibacterium,healthy,3.262883,3.100739e-05,3.100739e-05
marker16,g__Dorea,healthy,3.252621,5.981192e-05,5.981192e-05
marker17,g__Eisenbergiella,healthy,2.962058,5.067520e-07,5.067520e-07
marker18,g__Intestinibacter,healthy,2.876620,6.504206e-20,6.504206e-20
marker19,g__Hungatella,healthy,2.822570,3.966931e-10,3.966931e-10
marker20,g__Lactobacillus,healthy,2.803539,2.631125e-05,2.631125e-05
marker21,g__Desulfovibrio,healthy,2.754516,3.129209e-06,3.129209e-06
marker22,g__Anaerotruncus,healthy,2.714752,8.342586e-07,8.342586e-07
marker23,g__Tyzzerella,healthy,2.673267,6.284365e-07,6.284365e-07
marker24,g__Haemophilus,healthy,2.657647,7.463595e-07,7.463595e-07
marker25,g__Coprobacillus,healthy,2.652530,1.189487e-07,1.189487e-07
marker26,g__Oxalobacter,healthy,2.557151,1.758377e-05,1.758377e-05
marker27,g__Butyricimonas,healthy,2.551414,2.222456e-04,2.222456e-04
marker28,g__Adlercreutzia,healthy,2.546717,3.385052e-03,3.385052e-03
marker29,g__Intestinimonas,healthy,2.524448,9.940356e-04,9.940356e-04
marker30,g__Sellimonas,healthy,2.441044,1.167679e-04,1.167679e-04
marker31,g__Olsenella,healthy,2.433399,4.884156e-06,4.884156e-06
marker32,g__Asaccharobacter,healthy,2.376628,1.276446e-04,1.276446e-04
marker33,g__Cetobacterium,healthy,2.319022,3.042634e-02,3.042634e-02
marker34,g__Gordonibacter,healthy,2.281535,2.331516e-06,2.331516e-06
marker35,g__Methanobrevibacter,healthy,2.264400,2.090934e-02,2.090934e-02
marker36,g__Gemella,healthy,2.257328,1.541735e-11,1.541735e-11
marker37,g__Anaeromassilibacillus,healthy,2.173222,7.929589e-04,7.929589e-04
marker38,g__Candidatus_Stoquefichus,healthy,2.165228,8.674077e-04,8.674077e-04
marker39,g__Turicibacter,healthy,2.154716,1.519367e-04,1.519367e-04
marker40,g__Enorma,healthy,2.141292,1.016949e-07,1.016949e-07
marker41,g__Pseudoflavonifractor,healthy,2.080477,7.664551e-06,7.664551e-06
marker42,g__Faecalitalea,healthy,2.076987,6.585974e-04,6.585974e-04
marker43,g__Lawsonibacter,healthy,2.058175,8.114737e-03,8.114737e-03
marker44,g__Monoglobus,healthy,2.045749,1.013565e-02,1.013565e-02
marker45,g__Oscillibacter,hypertension,3.600899,1.804289e-02,1.804289e-02
marker46,g__un_p__Proteobacteria,hypertension,3.517667,1.017449e-09,1.017449e-09
marker47,g__Enterobacter,hypertension,3.386814,1.531449e-02,1.531449e-02
marker48,g__Parasutterella,hypertension,3.259086,7.199446e-07,7.199446e-07
marker49,g__Barnesiella,hypertension,3.026078,1.835656e-02,1.835656e-02
marker50,g__Paraprevotella,hypertension,2.952356,2.035428e-03,2.035428e-03
marker51,g__Eggerthella,hypertension,2.940690,7.991763e-06,7.991763e-06
marker52,g__Coprobacter,hypertension,2.657116,4.686835e-02,4.686835e-02
marker53,g__un_f__Desulfovibrionaceae,hypertension,2.451189,2.614810e-02,2.614810e-02
marker54,g__un_o__Clostridiales,hypertension,2.399459,2.264423e-03,2.264423e-03
marker55,g__Turicimonas,hypertension,2.375060,2.620102e-08,2.620102e-08
marker56,g__Lactococcus,hypertension,2.094722,2.899345e-02,2.899345e-02
marker57,g__Comamonas,hypertension,2.054302,4.172810e-03,4.172810e-03
marker58,g__Enterococcus,hypertension,2.032289,3.802725e-04,3.802725e-04
