"","feature","enrich_group","ef_lda","pvalue","padj"
"marker1","g__Bacteroides","healthy","4.615277","5.747734e-16","5.747734e-16"
"marker2","g__un_o__RF39","healthy","3.648445","3.508076e-02","3.508076e-02"
"marker3","g__Ralstonia","healthy","3.606854","9.662284e-07","9.662284e-07"
"marker4","g__un_f__Erysipelotrichaceae","healthy","3.471313","2.541113e-07","2.541113e-07"
"marker5","g__Akkermansia","healthy","3.443803","1.859197e-03","1.859197e-03"
"marker6","g__un_o__Clostridiales","healthy","3.433430","4.105770e-02","4.105770e-02"
"marker7","g__un_f__Rikenellaceae","healthy","3.389754","1.091029e-05","1.091029e-05"
"marker8","g__Sediminibacterium","healthy","3.388232","2.508645e-03","2.508645e-03"
"marker9","g__Parabacteroides","healthy","3.326003","1.548747e-11","1.548747e-11"
"marker10","g__Phascolarctobacterium","healthy","3.273149","4.532377e-03","4.532377e-03"
"marker11","g__Sutterella","healthy","3.071369","5.064775e-04","5.064775e-04"
"marker12","g__Bifidobacterium","healthy","3.064970","6.782291e-09","6.782291e-09"
"marker13","g__Oscillospira","healthy","2.828923","1.251143e-05","1.251143e-05"
"marker14","g__Bradyrhizobium","healthy","2.825882","4.369972e-08","4.369972e-08"
"marker15","g__Acidaminococcus","healthy","2.757568","2.629335e-02","2.629335e-02"
"marker16","g__Lachnospira","healthy","2.738228","2.656890e-02","2.656890e-02"
"marker17","g__un_f__[Barnesiellaceae]","healthy","2.666733","1.275342e-03","1.275342e-03"
"marker18","g__un_f__Caulobacteraceae","healthy","2.652363","3.153592e-03","3.153592e-03"
"marker19","g__Butyricimonas","healthy","2.623046","4.150298e-12","4.150298e-12"
"marker20","g__un_f__Oxalobacteraceae","healthy","2.575037","3.696748e-07","3.696748e-07"
"marker21","g__un_o__Burkholderiales","healthy","2.285317","3.794593e-04","3.794593e-04"
"marker22","g__un_f__Comamonadaceae","healthy","2.237347","1.960070e-09","1.960070e-09"
"marker23","g__Odoribacter","healthy","2.174602","2.721546e-07","2.721546e-07"
"marker24","g__Alistipes","healthy","2.096273","6.501855e-07","6.501855e-07"
"marker25","g__Lacticigenium","healthy","2.050475","4.225139e-02","4.225139e-02"
"marker26","g__un_f__Chitinophagaceae","healthy","2.008037","3.283824e-05","3.283824e-05"
"marker27","g__Holdemania","healthy","2.007174","2.413983e-02","2.413983e-02"
"marker28","g__un_f__Enterobacteriaceae","hypertension","4.504611","1.369351e-08","1.369351e-08"
"marker29","g__Prevotella","hypertension","3.982954","1.832783e-03","1.832783e-03"
"marker30","g__un_f__Peptostreptococcaceae","hypertension","3.923650","5.451098e-05","5.451098e-05"
"marker31","g__un_f__Clostridiaceae","hypertension","3.905766","4.085580e-15","4.085580e-15"
"marker32","g__Klebsiella","hypertension","3.843502","5.158462e-05","5.158462e-05"
"marker33","g__Lactobacillus","hypertension","3.055506","6.836401e-08","6.836401e-08"
"marker34","g__Turicibacter","hypertension","2.788563","6.204195e-04","6.204195e-04"
"marker35","g__un_f__Moraxellaceae","hypertension","2.750095","2.771846e-02","2.771846e-02"
"marker36","g__[Eubacterium]","hypertension","2.745559","2.761789e-02","2.761789e-02"
"marker37","g__Acinetobacter","hypertension","2.735258","4.480321e-03","4.480321e-03"
"marker38","g__Serratia","hypertension","2.640644","8.050926e-08","8.050926e-08"
"marker39","g__Methanobrevibacter","hypertension","2.629300","3.839615e-02","3.839615e-02"
"marker40","g__Lachnobacterium","hypertension","2.588378","4.302380e-02","4.302380e-02"
"marker41","g__Collinsella","hypertension","2.396013","1.718510e-02","1.718510e-02"
"marker42","g__un_o__Streptophyta","hypertension","2.391175","3.970558e-02","3.970558e-02"
"marker43","g__Desulfovibrio","hypertension","2.389464","2.445585e-02","2.445585e-02"
"marker44","g__Aggregatibacter","hypertension","2.237094","5.974484e-04","5.974484e-04"
"marker45","g__un_f__Christensenellaceae","hypertension","2.227087","1.601893e-02","1.601893e-02"
"marker46","g__Enterobacter","hypertension","2.185458","4.181356e-05","4.181356e-05"
"marker47","g__p-75-a5","hypertension","2.163477","2.810432e-02","2.810432e-02"
"marker48","g__Proteus","hypertension","2.121608","1.227693e-02","1.227693e-02"
"marker49","g__un_f__[Paraprevotellaceae]","hypertension","2.032723","7.244065e-03","7.244065e-03"
