"","feature","enrich_group","ef_lda","pvalue","padj"
"marker1","g__Bacteroides","healthy","4.539722","2.150374e-10","2.150374e-10"
"marker2","g__Ralstonia","healthy","3.632131","6.692938e-05","6.692938e-05"
"marker3","g__Sediminibacterium","healthy","3.537391","6.864385e-03","6.864385e-03"
"marker4","g__Akkermansia","healthy","3.468484","1.143143e-02","1.143143e-02"
"marker5","g__un_f__Erysipelotrichaceae","healthy","3.444099","1.131717e-05","1.131717e-05"
"marker6","g__un_f__Rikenellaceae","healthy","3.373973","4.354439e-04","4.354439e-04"
"marker7","g__Parabacteroides","healthy","3.227072","1.473422e-08","1.473422e-08"
"marker8","g__Phascolarctobacterium","healthy","3.157469","1.161695e-02","1.161695e-02"
"marker9","g__Bifidobacterium","healthy","3.146689","1.577959e-07","1.577959e-07"
"marker10","g__Sutterella","healthy","2.947806","5.518209e-04","5.518209e-04"
"marker11","g__Bradyrhizobium","healthy","2.856098","2.700730e-06","2.700730e-06"
"marker12","g__Lachnospira","healthy","2.853660","8.537538e-03","8.537538e-03"
"marker13","g__un_f__Caulobacteraceae","healthy","2.815395","1.290243e-02","1.290243e-02"
"marker14","g__Acidaminococcus","healthy","2.752182","4.685719e-02","4.685719e-02"
"marker15","g__un_f__Oxalobacteraceae","healthy","2.617533","1.710972e-05","1.710972e-05"
"marker16","g__Oscillospira","healthy","2.583587","5.828459e-03","5.828459e-03"
"marker17","g__Butyricimonas","healthy","2.569400","1.066006e-08","1.066006e-08"
"marker18","g__Bilophila","healthy","2.369691","1.692121e-04","1.692121e-04"
"marker19","g__un_o__Burkholderiales","healthy","2.292106","3.631194e-03","3.631194e-03"
"marker20","g__Holdemania","healthy","2.195462","1.875703e-02","1.875703e-02"
"marker21","g__un_f__Comamonadaceae","healthy","2.173571","5.965988e-09","5.965988e-09"
"marker22","g__Alistipes","healthy","2.090635","5.045069e-05","5.045069e-05"
"marker23","g__Odoribacter","healthy","2.056825","7.179006e-06","7.179006e-06"
"marker24","g__p-75-a5","healthy","2.029187","6.939811e-03","6.939811e-03"
"marker25","g__un_f__Chitinophagaceae","healthy","2.005520","2.638202e-05","2.638202e-05"
"marker26","g__un_f__Enterobacteriaceae","hypertension","4.349198","6.234414e-05","6.234414e-05"
"marker27","g__Prevotella","hypertension","3.952249","5.431846e-03","5.431846e-03"
"marker28","g__un_f__Clostridiaceae","hypertension","3.892510","1.286380e-12","1.286380e-12"
"marker29","g__un_f__Peptostreptococcaceae","hypertension","3.867439","7.585143e-04","7.585143e-04"
"marker30","g__Klebsiella","hypertension","3.818147","2.372313e-03","2.372313e-03"
"marker31","g__Lactobacillus","hypertension","3.007763","4.582374e-05","4.582374e-05"
"marker32","g__Veillonella","hypertension","2.988734","2.347503e-02","2.347503e-02"
"marker33","g__Turicibacter","hypertension","2.888713","2.491538e-04","2.491538e-04"
"marker34","g__un_f__Moraxellaceae","hypertension","2.790325","2.631508e-02","2.631508e-02"
"marker35","g__Serratia","hypertension","2.757286","3.771245e-05","3.771245e-05"
"marker36","g__[Eubacterium]","hypertension","2.744426","1.502016e-02","1.502016e-02"
"marker37","g__Methanobrevibacter","hypertension","2.729784","1.120859e-02","1.120859e-02"
"marker38","g__Acinetobacter","hypertension","2.485455","2.259349e-02","2.259349e-02"
"marker39","g__Aggregatibacter","hypertension","2.356908","1.969000e-04","1.969000e-04"
"marker40","g__un_f__[Paraprevotellaceae]","hypertension","2.259095","3.974979e-03","3.974979e-03"
"marker41","g__Enterobacter","hypertension","2.208565","3.165089e-04","3.165089e-04"
"marker42","g__Citrobacter","hypertension","2.008079","5.310724e-03","5.310724e-03"
