""	Acidaminococcus	Akkermansia	Alistipes	Bacteroides	Bifidobacterium	Butyricimonas	Collinsella	Desulfovibrio	Eubacterium	Holdemania	Klebsiella	Lachnospira	Lactobacillus	Methanobrevibacter	Odoribacter	Oscillospira	Parabacteroides	Phascolarctobacterium	Prevotella	Proteus	Sutterella	Turicibacter	missing	ncells
NK	0.149713720792729	0.357446908244518	0.0534341220897148	0.0440797082837457	0.1784642592134	0.0327145177269877	0.0201769090291983	0.0201078886317228	0.166934380618443	0.039956390575185	0.00720573757136743	0.0718152491716089	0.0623264888475937	0.146790033713002	0.286778398961355	0.0416797202830801	0.0310668500400748	0.0964515541711909	0.111412406645572	0.29360332320193	0.250000620759644	0.0070280690957365	0	37087
Monocyte	0.319971153955437	0.184777374697849	0.391620968158543	0.551758020583017	0.541556163879819	0.786389117055909	0.471252439206888	0.635524639100941	0.0426787900318558	0.463228348645506	0.403727638446005	0.433906085546008	0.533399886842078	0.27730011584889	0.0827558401319636	0.0881268342564282	0.608856623114776	0.58368091331246	0.144195621773148	0.260185822935811	0.277551629488009	0.371504015426654	0	41156
TCells	0.33275492665639	0.303256731189534	0.428391943238303	0.246686026696379	0.169539976325539	0.0675576455069185	0.237600487612252	0.136364965972984	0.650109442448627	0.14751814944747	0.416099569927625	0.206141135791505	0.144485370168867	0.285766490086287	0.532101439352863	0.707078987536378	0.116599312731259	0.150431964934812	0.211157196710818	0.183886488719202	0.282354855645524	0.056603266616913	0	74784
BCells	0.0215669665107339	0.00927509788269282	0.0483740528444307	0.0459664542295948	0.0288193569450922	0.0121499114958246	0.0143524272741721	0.0911595125985037	0.0689116888354571	0.00775499377918088	0.133319771501504	0.0581677222305899	0.0711473925440327	0.0108651106251219	0.0303692978861206	0.110618742730173	0.0272013242226409	0.0128577591755795	0.463214843338132	0.021813150701203	0.043967224617547	0.410629435945892	0	15385
Neutrophils	0.147081699902744	0.133163784191971	0.0358422984652339	0.0645546425039155	0.0676860165825391	0.0097733003949182	0.218545326587301	0.104583727566175	0.0219218189666639	0.320449714219419	0.0158479836142064	0.203150285546408	0.119831280153147	0.253127271008782	0.0462736848318703	0.0269084064199588	0.203751402942029	0.126404892627659	0.0372844795695485	0.217402866407619	0.112959723236887	0.0541166548883833	0	24999
PlassmaCells	0.0117485170549072	0.00284824431919291	0.0115126774948342	0.0228790851579856	0.00927708646564882	0.00659182070422989	0.0104595712285232	0.0062369200576935	0.00573383218467689	0.0058443106468094	0.000251087413937506	0.00736398298047334	0.010932346002839	0.00638976381439582	0.00950936514966956	0.00955392175257919	0.0171612312632865	0.00753472242195085	0.0150009664582824	0.013125206519398	0.0131605413663775	0.116977060927776	0	1169
pDCs	0.00328894805590711	0.000123741467024473	0.00133698005874072	0.0191500291615006	0.0015276706663056	0.0133224498063839	0.00243906591071359	0.0159992709982475	0.00759572332323517	0.00122639953387376	0.135194347775894	0.0519538205428288	0.278791957119362	0.00899879420020168	0.00921308867141862	0.00458587307329887	0.00627619581822507	0.0401975228531893	0.0329848973897131	0.0124742843058197	0.00231303558418347	0.334505801615105	0	729
Basophils	0.0900082364271587	0.0328705666655213	0.13609294786365	0.122064834592594	0.0275525001342714	0.358744356846459	0.127731256290325	0.0223693722334662	0.0446534278915647	0.0772406901518819	0.0107417988503696	0.0419165422084367	0.099143198075565	0.0765443134125663	0.0481560777927042	0.0680013970901961	0.0175517795719927	0.0876403887166619	0.0828909325577059	0.0624316341518498	0.111695076057684	0.104448004259324	0	1288
Platelets	0.0112720525863766	0.00993868041524666	0.0168422752946597	0.012206631200697	0.0137427543235736	0.00158228714018767	0.0056457798761957	0.00264529528641551	0.133869647997161	0.00362974516226696	0.00817235507985139	0.0125854762528941	0.00423587959223844	0.0133392825776293	0.0241439575891261	0.017899634306838	0.00255199630687862	0.00215832227780146	0.00692848637631883	0.00395298155116394	0.0085111265873846	0.00292439781555048	0	1212
HSCs	0.0198611125838381	0.00755281746145958	0.037034961193222	0.0862201728594418	0.0212789700134262	0.00800675401031986	0.0162079079887278	0.0587178791922858	0.138094668240044	0	0.00491150257037153	0.0866655255136073	0.0468943216526724	0.0284303641641584	0.0189249631271229	0.0326920154126354	0.00492311607495861	0	0.0230114019368296	0.0409623454835838	0.0228634559870898	0.0116129996520998	0	201
ProNeutrophil	0.00396566199983166	0.00345172351987921	0.00664039122856686	0.0195752245712909	0.00524082765311321	0.0025839523666096	0.0143222237757471	0.0014661100874078	0.000906029600908743	0.000575731669624161	0	0.00785156093307021	0.00119517071730879	0.00322565087473883	0.00220322284525525	0.00555176449119859	0.0161689474498194	0.00599741743884967	0.0125710302860828	0.00454950909774291	0.000185959242464187	0	0	908
Erythrocytes	0	0.00935734763169268	0.00533483312604235	0	0.00286181083612814	0.00339529414873238	0.00199678777618614	0	0	0	0	9.6882582713505e-05	0	0.00595324597544089	0	0	0	0.00256801754958784	0.00018810319630739	0	0	0.0197885820730734	0	161
