""	Acidaminococcus	Akkermansia	Alistipes	Bacteroides	Bifidobacterium	Butyricimonas	Collinsella	Desulfovibrio	Eubacterium	Holdemania	Klebsiella	Lachnospira	Lactobacillus	Methanobrevibacter	Odoribacter	Oscillospira	Parabacteroides	Phascolarctobacterium	Prevotella	Proteus	Sutterella	Turicibacter
NK	1	0.000999000999000999	1	1	0.016983016983017	1	1	1	0.752247752247752	1	1	1	1	1	0.000999000999000999	1	1	1	1	0.000999000999000999	0.000999000999000999	1
Monocyte	0.000999000999000999	0.686313686313686	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	1	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	1	1	0.000999000999000999	0.000999000999000999	1	0.000999000999000999	0.000999000999000999	0.000999000999000999
TCells	0.000999000999000999	0.967032967032967	0.000999000999000999	1	1	1	1	1	0.000999000999000999	1	0.000999000999000999	1	1	1	0.000999000999000999	0.000999000999000999	1	1	1	1	1	1
BCells	1	1	1	1	1	1	1	0.000999000999000999	0.965034965034965	1	0.000999000999000999	1	0.861138861138861	1	1	0.000999000999000999	1	1	0.000999000999000999	1	1	0.000999000999000999
Neutrophils	0.000999000999000999	0.000999000999000999	1	1	1	1	0.000999000999000999	1	1	0.000999000999000999	1	0.000999000999000999	0.2997002997003	0.000999000999000999	1	1	0.000999000999000999	0.011988011988012	1	0.000999000999000999	0.918081918081918	1
PlassmaCells	1	1	1	0.828171828171828	1	1	1	1	1	1	1	1	1	1	1	1	0.994005994005994	1	0.999000999000999	0.999000999000999	1	0.000999000999000999
pDCs	1	1	1	0.918081918081918	1	0.997002997002997	1	0.987012987012987	1	1	0.000999000999000999	0.000999000999000999	0.000999000999000999	1	1	1	1	0.001998001998002	0.0859140859140859	1	1	0.000999000999000999
Basophils	0.000999000999000999	0.0649350649350649	0.000999000999000999	0.000999000999000999	0.407592407592408	0.000999000999000999	0.000999000999000999	0.867132867132867	0.000999000999000999	0.000999000999000999	1	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.993006993006993	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999
Platelets	1	1	0.998001998001998	1	1	1	1	1	0.000999000999000999	1	1	1	1	1	0.739260739260739	0.989010989010989	1	1	1	1	1	1
HSCs	0.725274725274725	0.99000999000999	0.105894105894106	0.000999000999000999	0.65034965034965	0.987012987012987	0.846153846153846	0.002997002997003	0.000999000999000999	1	0.995004995004995	0.000999000999000999	0.015984015984016	0.351648351648352	0.757242757242757	0.185814185814186	0.997002997002997	1	0.585414585414585	0.0559440559440559	0.598401598401599	0.95004995004995
ProNeutrophil	1	1	1	0.933066933066933	1	1	0.998001998001998	1	1	1	1	1	1	1	1	1	0.995004995004995	1	1	1	1	1
Erythrocytes	1	0.949050949050949	0.992007992007992	1	0.999000999000999	0.999000999000999	0.999000999000999	1	0.999000999000999	1	1	1	0.999000999000999	0.983016983016983	1	1	1	0.997002997002997	1	1	1	0.697302697302697
