""	Acidaminococcus	Akkermansia	Alistipes	Bacteroides	Bifidobacterium	Butyricimonas	Collinsella	Desulfovibrio	Eubacterium	Holdemania	Klebsiella	Lachnospira	Lactobacillus	Methanobrevibacter	Odoribacter	Oscillospira	Parabacteroides	Phascolarctobacterium	Prevotella	Proteus	Sutterella	Turicibacter	missing	ncells
NK	0.122445573149977	0.330683698448918	0.0527622303416143	0.0559102670984141	0.175644728163169	0.0398746572235666	0.031546931790703	0.0306939175904257	0.158591822143283	0.037030633161953	0.00889785070618958	0.067183901343524	0.0647843603299962	0.137795228788359	0.26887643650869	0.0489602226455996	0.0342973510415813	0.0886702191036253	0.122333117495684	0.286728293591877	0.241969969072891	0.013825551407468	0	36556
CD14 Monocyte	0.284992085802546	0.199933670285397	0.304505486903309	0.513925208331135	0.543814709015583	0.747853569894283	0.463014347295856	0.58658920322896	0.0594674483362868	0.461983864579869	0.320747842728404	0.422602738675807	0.526876423340158	0.293954011337745	0.102664111249922	0.109517754833866	0.59756474159868	0.334666782477591	0.142234575387455	0.263413588319404	0.283703986917334	0.270254550426773	0	42951
CD8m T	0.160159238216667	0.183272663381569	0.138041949350399	0.092090195062937	0.0891821683286526	0.0316028168752391	0.0778453972869397	0.0432432939476977	0.370189672858492	0.0610109445833003	0.0750807271591138	0.109444804775162	0.0570355091265592	0.161266008222034	0.331309510376848	0.203854321041772	0.0462216370343131	0.0789000162983131	0.0837869847462401	0.108867085047159	0.159310968295677	0.0199790079170837	0	39242
IgA PB	0.0170722359070934	0.0047379274075108	0.0138535389534487	0.0252279360531967	0.0113216153207504	0.00696338111533543	0.0140209609258473	0.00959354597830684	0.0108778517510851	0.0116945963891009	0.00410530880200998	0.00988300674607579	0.0126701440095923	0.00666354704996001	0.013875277113874	0.0107699999656766	0.0173092962671002	0.0103412624226913	0.0177024900109339	0.0167463160492076	0.0125992089597833	0.08388573049944	0	1329
CD4n T	0.0825169971021112	0.0535207016987496	0.142147356412719	0.0586105376937048	0.034399650691163	0.0138657785664466	0.0762460159553901	0.0468328914208548	0.127375853440374	0.0466562887812136	0.246121321684053	0.0202579102063067	0.0368783652476311	0.0351800034580925	0.0828125133883832	0.341858352236039	0.0239628315482306	0.0207220017395089	0.0675722467598872	0.0252792337574052	0.0521307361019901	0.0154060638563757	0	21062
CD16 Monocyte	0.0476828238653308	0.0158016477398949	0.147932663627787	0.0596218646780613	0.0141870160927849	0.0364660748732252	0.0288348655790849	0.0769555493193628	0.00570149968710947	0.0189629138159993	0.0732513607412906	0.0317714528420166	0.0232778902087853	0.0109748565281781	0.0066748953633174	0.00896046367375581	0.0373269772532488	0.338493823146337	0.0252011804211541	0.0279497805479371	0.0245502933740305	0.00941210765984375	0	6069
gd T	0.0318031770550715	0.0411052773773154	0.020694862184558	0.0151873705917235	0.0165163056654336	0.0012106725401711	0.00679565964100087	0.00485585517517356	0.0798827957555485	0.00848087689426751	0.00832706246169744	0.0186733646698838	0.0122129359050776	0.0336493636400871	0.0324004998380767	0.0339145083038806	0.00407333180186691	0.00734378851720725	0.0100249041370708	0.0107101844806484	0.0230814185551149	0.00103377163291717	0	3603
B	0.0250726501589198	0.0118686534553822	0.0516185343297763	0.0471474750197009	0.0312119459870117	0.012160381533858	0.0170535013096827	0.0870250004577418	0.0751670982968669	0.00976484519714329	0.125942702274738	0.0567594028954715	0.0699356915648428	0.0127236158768118	0.0360988422785998	0.115019928227894	0.0279577311774102	0.0138169287249605	0.45112518340112	0.0248740217968065	0.0463341468058599	0.380923649844408	0	16459
DC	0.0914076555581576	0.00329872723774792	0.00962157201425271	0.0234059774200288	0.0150970746011646	0.0340849128894347	0.0105752311195491	0.0326223840142321	0.00893163691691975	0.0149149932759087	0.263763123879817	0.0604507822711572	0.0145712231532552	0.00780801588904491	0.0027273010300694	0.0062905505597894	0.00509929310499605	0.0219531005242041	0.0175623207625615	0.00945451294261492	0.00912366050664764	0.511103658847668	0	1402
CD8eff T	0.0125258697361057	0.018278803762176	0.0165230933164276	0.0237548033687792	0.00689788874651444	0.00494760250783433	0.00937558151629024	0.00597864194587114	0.0142358725592236	0.00995520511472543	0.00312368440230916	0.0203230524201337	0.00460076231257929	0.0461028591320788	0.0148043168939194	0.00729043656439999	0.0046603378826333	0.027932168755939	0.0128550212229124	0.0062218970644527	0.00852737256877547	0.00680279424989617	0	694
