""	Acidaminococcus	Akkermansia	Alistipes	Bacteroides	Bifidobacterium	Butyricimonas	Collinsella	Desulfovibrio	Eubacterium	Holdemania	Klebsiella	Lachnospira	Lactobacillus	Methanobrevibacter	Odoribacter	Oscillospira	Parabacteroides	Phascolarctobacterium	Prevotella	Proteus	Sutterella	Turicibacter
NK	1	0.000999000999000999	1	1	0.000999000999000999	1	1	1	0.565434565434565	1	1	1	1	1	0.000999000999000999	1	1	1	1	0.000999000999000999	0.000999000999000999	1
CD14 Monocyte	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	1	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	1	1	0.000999000999000999	0.000999000999000999	1	0.000999000999000999	0.000999000999000999	0.000999000999000999
CD8m T	0.992007992007992	0.001998001998002	1	1	1	1	1	1	0.000999000999000999	1	1	1	1	0.983016983016983	0.000999000999000999	0.000999000999000999	1	1	1	1	0.995004995004995	1
IgA PB	0.997002997002997	1	1	0.628371628371628	1	1	1	1	1	1	1	1	1	1	1	1	0.997002997002997	1	0.999000999000999	0.997002997002997	1	0.000999000999000999
CD4n T	1	1	0.000999000999000999	1	1	1	1	1	0.000999000999000999	1	0.000999000999000999	1	1	1	1	0.000999000999000999	1	1	1	1	1	1
CD16 Monocyte	0.000999000999000999	1	0.000999000999000999	0.000999000999000999	1	0.246753246753247	0.996003996003996	0.000999000999000999	1	1	0.000999000999000999	0.925074925074925	1	1	1	1	0.145854145854146	0.000999000999000999	1	0.999000999000999	1	1
gd T	0.258741258741259	0.000999000999000999	1	1	1	1	1	1	0.000999000999000999	1	1	1	1	0.0789210789210789	0.167832167832168	0.0689310689310689	1	1	1	1	0.998001998001998	1
B	1	1	1	1	1	1	1	0.000999000999000999	0.486513486513487	1	0.000999000999000999	1	0.966033966033966	1	1	0.000999000999000999	1	1	0.000999000999000999	1	1	0.000999000999000999
DC	0.000999000999000999	1	1	0.816183816183816	1	0.027972027972028	1	0.0619380619380619	1	1	0.000999000999000999	0.000999000999000999	1	1	1	1	1	0.897102897102897	0.996003996003996	1	1	0.000999000999000999
CD8eff T	0.998001998001998	0.941058941058941	0.98001998001998	0.658341658341658	1	1	1	1	0.992007992007992	1	1	0.859140859140859	1	0.000999000999000999	0.994005994005994	1	1	0.337662337662338	0.997002997002997	1	1	1
IgG PB	0.968031968031968	1	0.836163836163836	0.822177822177822	0.994005994005994	0.983016983016983	0.947052947052947	1	0.998001998001998	1	1	1	0.989010989010989	0.988011988011988	0.994005994005994	0.93006993006993	0.857142857142857	0.988011988011988	0.913086913086913	0.942057942057942	0.729270729270729	0.000999000999000999
Neutrophil	0.000999000999000999	0.000999000999000999	1	1	1	1	0.000999000999000999	1	1	0.000999000999000999	1	0.000999000999000999	0.599400599400599	0.000999000999000999	1	1	0.000999000999000999	0.672327672327672	1	0.000999000999000999	0.384615384615385	1
Class-switched B	0.779220779220779	0.701298701298701	0.907092907092907	0.677322677322677	0.927072927072927	0.999000999000999	0.988011988011988	0.971028971028971	0.989010989010989	0.985014985014985	0.998001998001998	0.619380619380619	0.969030969030969	0.693306693306693	0.998001998001998	0.991008991008991	0.963036963036963	0.948051948051948	0.99000999000999	0.97002997002997	0.99000999000999	0.000999000999000999
CD4m T	0.000999000999000999	1	0.000999000999000999	0.000999000999000999	1	1	0.001998001998002	1	0.000999000999000999	1	1	0.025974025974026	1	0.173826173826174	0.000999000999000999	0.000999000999000999	1	1	1	1	1	1
pDC	1	1	1	0.988011988011988	1	1	1	0.998001998001998	1	1	0.000999000999000999	0.000999000999000999	0.000999000999000999	1	1	1	1	0.010989010989011	0.030969030969031	1	1	0.000999000999000999
SC & Eosinophil	0.000999000999000999	0.21978021978022	0.000999000999000999	0.000999000999000999	0.418581418581419	0.000999000999000999	0.000999000999000999	0.541458541458542	0.000999000999000999	0.000999000999000999	1	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.995004995004995	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999
Activated Granulocyte	1	1	1	0.97002997002997	1	1	0.995004995004995	1	1	1	1	1	1	1	1	1	0.99000999000999	1	1	1	1	1
Platelet	1	1	0.958041958041958	0.96003996003996	0.903096903096903	1	1	1	0.000999000999000999	1	1	0.871128871128871	1	1	0.883116883116883	1	1	1	1	1	1	1
CD4 T	0.999000999000999	0.999000999000999	0.23976023976024	1	0.996003996003996	1	0.999000999000999	0.996003996003996	0.716283716283716	1	0.000999000999000999	1	0.991008991008991	1	0.99000999000999	0.000999000999000999	1	1	0.999000999000999	0.997002997002997	1	1
RBC	0.994005994005994	0.993006993006993	0.734265734265734	1	0.999000999000999	1	1	1	0.420579420579421	1	0.952047952047952	0.999000999000999	1	0.999000999000999	0.991008991008991	0.000999000999000999	1	1	0.999000999000999	0.989010989010989	0.999000999000999	1
