geneset,cor,p_value,genus
HALLMARK_ADIPOGENESIS,-0.347683452915875,5.3093798358853e-31,Oscillospira
HALLMARK_ALLOGRAFT_REJECTION,-0.320616450757642,2.31051293929238e-26,Oscillospira
HALLMARK_ANDROGEN_RESPONSE,0.246716909058011,6.2896618791727e-16,Oscillospira
HALLMARK_ANGIOGENESIS,-0.254173739499249,7.67783414935075e-17,Oscillospira
HALLMARK_APICAL_JUNCTION,-0.145581553547585,2.34496160522108e-06,Oscillospira
HALLMARK_APICAL_SURFACE,-0.0134125493183109,0.665258037660659,Oscillospira
HALLMARK_APOPTOSIS,-0.111959115366137,0.000291389869141271,Oscillospira
HALLMARK_BILE_ACID_METABOLISM,0.065652830027439,0.0340029486820575,Oscillospira
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.14987029310546,1.16312912946673e-06,Oscillospira
HALLMARK_COAGULATION,-0.0526297833611161,0.0893483903582183,Oscillospira
HALLMARK_COMPLEMENT,-0.0746186129370836,0.0159386499992155,Oscillospira
HALLMARK_DNA_REPAIR,-0.271903121979931,3.90314738014815e-19,Oscillospira
HALLMARK_E2F_TARGETS,-0.191998142484456,4.0655019935676e-10,Oscillospira
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.289360488882261,1.44733147834846e-21,Oscillospira
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.321437144461388,1.69753784363575e-26,Oscillospira
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0671027823442893,0.030237697595453,Oscillospira
HALLMARK_FATTY_ACID_METABOLISM,-0.271840851845301,3.97902533272239e-19,Oscillospira
HALLMARK_G2M_CHECKPOINT,0.0326791935605141,0.291696477128405,Oscillospira
HALLMARK_GLYCOLYSIS,-0.148258863521316,1.51722299835695e-06,Oscillospira
HALLMARK_HEDGEHOG_SIGNALING,0.112258067090802,0.000280610454256083,Oscillospira
HALLMARK_HEME_METABOLISM,0.24193470456006,2.33697489683319e-15,Oscillospira
HALLMARK_HYPOXIA,-0.0513486793153046,0.0974312113307556,Oscillospira
HALLMARK_IL2_STAT5_SIGNALING,0.296675862267223,1.22976664654252e-22,Oscillospira
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0312200683320243,0.313788445772887,Oscillospira
HALLMARK_INFLAMMATORY_RESPONSE,-0.255741977729232,4.88999410458797e-17,Oscillospira
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.311479736316926,6.70577231937206e-25,Oscillospira
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.295794636009,1.66135329035321e-22,Oscillospira
HALLMARK_KRAS_SIGNALING_DN,0.28541023185457,5.31935741663907e-21,Oscillospira
HALLMARK_KRAS_SIGNALING_UP,0.165682357027973,7.38203868992139e-08,Oscillospira
HALLMARK_MITOTIC_SPINDLE,0.412107916582086,5.03187645030417e-44,Oscillospira
HALLMARK_MTORC1_SIGNALING,-0.317238207295484,8.13733542746991e-26,Oscillospira
HALLMARK_MYC_TARGETS_V1,-0.472497635444234,4.05043952849852e-59,Oscillospira
HALLMARK_MYC_TARGETS_V2,-0.247226144299145,5.46016216062684e-16,Oscillospira
HALLMARK_MYOGENESIS,-0.0722560163533202,0.0196063139125902,Oscillospira
HALLMARK_NOTCH_SIGNALING,0.262810244542683,6.15923244469315e-18,Oscillospira
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.482684169318049,5.60773408914424e-62,Oscillospira
HALLMARK_P53_PATHWAY,-0.329471594897487,7.88918483427289e-28,Oscillospira
HALLMARK_PANCREAS_BETA_CELLS,0.136184168895967,1.01741000024192e-05,Oscillospira
HALLMARK_PEROXISOME,-0.136742085538228,9.34964595237655e-06,Oscillospira
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.0597097809475362,0.0538842776555035,Oscillospira
HALLMARK_PROTEIN_SECRETION,0.0841510756064553,0.00654266724842139,Oscillospira
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.258404917826966,2.25702044929533e-17,Oscillospira
HALLMARK_SPERMATOGENESIS,0.159666545731703,2.17622391436338e-07,Oscillospira
HALLMARK_TGF_BETA_SIGNALING,0.0581371224689893,0.0605312183264949,Oscillospira
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.27720370421597,7.44129942549098e-20,Oscillospira
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.318615436984568,4.88000552107229e-26,Oscillospira
HALLMARK_UV_RESPONSE_DN,0.530076666984928,1.26179185261166e-76,Oscillospira
HALLMARK_UV_RESPONSE_UP,-0.160447102935351,1.89563017886417e-07,Oscillospira
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.169786980994045,3.45062205747038e-08,Oscillospira
HALLMARK_XENOBIOTIC_METABOLISM,-0.121080156591369,8.85169854868446e-05,Oscillospira
